asset_id,level,point,gem,blue_cost,green_cost,red_cost,white_cost,brown_cost
200,2,3,BLUE,6,0,0,0,0
201,2,3,GREEN,0,6,0,0,0
202,2,3,RED,0,0,6,0,0
203,2,3,WHITE,0,0,0,6,0
204,2,3,BROWN,0,0,0,0,6
205,2,2,BLUE,5,0,0,0,0
206,2,2,GREEN,0,5,0,0,0
207,2,2,RED,0,0,0,0,5
208,2,2,WHITE,0,0,5,0,0
209,2,2,BROWN,0,0,0,5,0
210,2,2,BLUE,3,0,0,5,0
211,2,2,GREEN,5,3,0,0,0
212,2,2,RED,0,0,0,3,5
213,2,2,WHITE,0,0,5,0,3
214,2,2,BROWN,0,5,3,0,0
215,2,2,BLUE,0,0,1,2,4
216,2,2,GREEN,2,0,0,4,1
217,2,2,RED,4,2,0,1,0
218,2,2,WHITE,0,1,4,0,2
219,2,2,BROWN,1,4,2,0,0
220,2,1,BLUE,2,3,0,0,3
221,2,1,GREEN,0,2,3,3,0
222,2,1,RED,3,0,2,0,3
223,2,1,WHITE,3,0,3,2,0
224,2,1,BROWN,0,3,0,3,2
225,2,1,BLUE,2,2,3,0,0
226,2,1,GREEN,3,0,0,2,2
227,2,1,RED,0,0,2,2,3
228,2,1,WHITE,0,3,2,0,2
229,2,1,BROWN,2,2,0,3,0
